Statistic,Sharing assumption,Unit,Group or category,Sample base,Population base,Population base sampling error,Estimate,Sampling error,Note
Average Market income,Family,Dollars (tax year 2018/19),Principal Age 35-39,1191,531000,34000,56410,5740,
Average Market income,Family,Dollars (tax year 2018/19),Principal Age 40-44,1218,563000,33000,65520,7010,
Average Market income,Family,Dollars (tax year 2018/19),Principal Age 45-49,1035,482000,32000,74410,9340,
Average Market income,Family,Dollars (tax year 2018/19),Principal Age 50-54,840,418000,25000,80210,12280,
Average Market income,Family,Dollars (tax year 2018/19),Principal Age 55-59,738,359000,21000,75720,6980,
Average Market income,Family,Dollars (tax year 2018/19),Principal Age 60-64,630,309000,19000,75680,11110,
Average Market income,Family,Dollars (tax year 2018/19),Principal Age 65-69,522,237000,14000,50800,8210,
Average Market income,Family,Dollars (tax year 2018/19),Principal Age 70-74,411,185000,12000,33120,9680,
Average Market income,Family,Dollars (tax year 2018/19),Principal Age 75-79,342,124000,10000,21460,5410,
Average Market income,Family,Dollars (tax year 2018/19),Principal Age 80+,318,159000,8000,15490,5090,
Average Market income,No sharing,Dollars (tax year 2018/19),Age 0-4,663,305000,0,0,0,
Average Market income,No sharing,Dollars (tax year 2018/19),Age 5-9,759,327000,0,0,0,
Average Market income,No sharing,Dollars (tax year 2018/19),Age 10-14,723,314000,0,0,0,
Average Market income,No sharing,Dollars (tax year 2018/19),Age 15-19,561,305000,0,7730,1170,
Average Market income,No sharing,Dollars (tax year 2018/19),Age 20-24,519,332000,0,28450,2720,
Average Market income,No sharing,Dollars (tax year 2018/19),Age 25-29,642,367000,0,43820,5950,
Average Market income,No sharing,Dollars (tax year 2018/19),Age 30-34,708,338000,0,55090,3400,
Average Market income,No sharing,Dollars (tax year 2018/19),Age 35-39,681,310000,0,57690,5040,
Average Market income,No sharing,Dollars (tax year 2018/19),Age 40-44,630,299000,0,70650,6670,
Average Market income,No sharing,Dollars (tax year 2018/19),Age 45-49,693,330000,0,69840,7970,
Average Market income,No sharing,Dollars (tax year 2018/19),Age 50-54,627,317000,0,73270,11110,
Average Market income,No sharing,Dollars (tax year 2018/19),Age 55-59,633,314000,0,64080,5490,
Average Market income,No sharing,Dollars (tax year 2018/19),Age 60-64,558,270000,0,65270,9580,
Average Market income,No sharing,Dollars (tax year 2018/19),Age 65-69,513,233000,0,39790,5980,
Average Market income,No sharing,Dollars (tax year 2018/19),Age 70-74,426,190000,0,26120,6850,
Average Market income,No sharing,Dollars (tax year 2018/19),Age 75-79,339,125000,0,16370,3700,
Average Market income,No sharing,Dollars (tax year 2018/19),Age 80+,312,157000,0,12140,3740,
Average Market income - Couple families,No sharing,Dollars (tax year 2018/19),Age 0-4,,,,,,Not applicable
Average Market income - Couple families,No sharing,Dollars (tax year 2018/19),Age 5-9,,,,,,Not applicable
Average Market income - Couple families,No sharing,Dollars (tax year 2018/19),Age 10-14,,,,,,Not applicable
Average Market income - Couple families,No sharing,Dollars (tax year 2018/19),Age 15-19,,,,,,Suppressed
Average Market income - Couple families,No sharing,Dollars (tax year 2018/19),Age 20-24,102,57000,12000,33140,4500,
Average Market income - Couple families,No sharing,Dollars (tax year 2018/19),Age 25-29,213,114000,17000,58730,17820,
Average Market income - Couple families,No sharing,Dollars (tax year 2018/19),Age 30-34,165,79000,12000,65760,6260,
Average Market income - Couple families,No sharing,Dollars (tax year 2018/19),Age 35-39,90,41000,9000,63490,11880,
Average Market income - Couple families,No sharing,Dollars (tax year 2018/19),Age 40-44,90,45000,10000,69870,9910,
Average Market income - Couple families,No sharing,Dollars (tax year 2018/19),Age 45-49,198,95000,14000,72710,9190,
Average Market income - Couple families,No sharing,Dollars (tax year 2018/19),Age 50-54,297,155000,15000,80890,19960,
Average Market income - Couple families,No sharing,Dollars (tax year 2018/19),Age 55-59,384,199000,14000,66280,6640,
Average Market income - Couple families,No sharing,Dollars (tax year 2018/19),Age 60-64,327,165000,11000,77270,12950,
Average Market income - Couple families,No sharing,Dollars (tax year 2018/19),Age 65-69,336,158000,9000,45370,7480,
Average Market income - Couple families,No sharing,Dollars (tax year 2018/19),Age 70-74,282,135000,10000,28870,9160,
Average Market income - Couple families,No sharing,Dollars (tax year 2018/19),Age 75-79,216,84000,7000,17620,4530,
Average Market income - Couple families,No sharing,Dollars (tax year 2018/19),Age 80+,141,76000,7000,15860,7090,
Average Market income - Couple-with-children families,No sharing,Dollars (tax year 2018/19),Age 0-4,543,244000,11000,0,0,
Average Market income - Couple-with-children families,No sharing,Dollars (tax year 2018/19),Age 5-9,570,257000,10000,0,0,
Average Market income - Couple-with-children families,No sharing,Dollars (tax year 2018/19),Age 10-14,525,241000,11000,0,0,
Average Market income - Couple-with-children families,No sharing,Dollars (tax year 2018/19),Age 15-19,225,133000,14000,1510,630,
Average Market income - Couple-with-children families,No sharing,Dollars (tax year 2018/19),Age 20-24,30,15000,7000,22130,8630,
Average Market income - Couple-with-children families,No sharing,Dollars (tax year 2018/19),Age 25-29,162,80000,16000,38130,4510,
Average Market income - Couple-with-children families,No sharing,Dollars (tax year 2018/19),Age 30-34,363,162000,13000,61140,5930,
Average Market income - Couple-with-children families,No sharing,Dollars (tax year 2018/19),Age 35-39,423,184000,14000,63960,7090,
Average Market income - Couple-with-children families,No sharing,Dollars (tax year 2018/19),Age 40-44,381,178000,12000,79230,10960,
Average Market income - Couple-with-children families,No sharing,Dollars (tax year 2018/19),Age 45-49,315,163000,15000,76500,13720,
Average Market income - Couple-with-children families,No sharing,Dollars (tax year 2018/19),Age 50-54,168,87000,15000,82560,15380,
Average Market income - Couple-with-children families,No sharing,Dollars (tax year 2018/19),Age 55-59,66,36000,9000,67860,18110,
Average Market income - Couple-with-children families,No sharing,Dollars (tax year 2018/19),Age 60-64,27,16000,5000,60630,19510,
Average Market income - Couple-with-children families,No sharing,Dollars (tax year 2018/19),Age 65-69,,,,,,Suppressed
Average Market income - Couple-with-children families,No sharing,Dollars (tax year 2018/19),Age 70-74,,,,,,Suppressed
Average Market income - Couple-with-children families,No sharing,Dollars (tax year 2018/19),Age 75-79,,,,,,Suppressed
Average Market income - Couple-with-children families,No sharing,Dollars (tax year 2018/19),Age 80+,,,,,,Suppressed
Average Market income - Single-member families,No sharing,Dollars (tax year 2018/19),Age 0-4,,,,,,Not applicable
Average Market income - Single-member families,No sharing,Dollars (tax year 2018/19),Age 5-9,,,,,,Not applicable
Average Market income - Single-member families,No sharing,Dollars (tax year 2018/19),Age 10-14,,,,,,Not applicable
Average Market income - Single-member families,No sharing,Dollars (tax year 2018/19),Age 15-19,216,119000,13000,15730,2200,
Average Market income - Single-member families,No sharing,Dollars (tax year 2018/19),Age 20-24,366,248000,13000,29010,3270,
Average Market income - Single-member families,No sharing,Dollars (tax year 2018/19),Age 25-29,225,150000,15000,40250,3770,
Average Market income - Single-member families,No sharing,Dollars (tax year 2018/19),Age 30-34,135,79000,11000,38970,7380,
Average Market income - Single-member families,No sharing,Dollars (tax year 2018/19),Age 35-39,114,63000,10000,45460,8360,
Average Market income - Single-member families,No sharing,Dollars (tax year 2018/19),Age 40-44,90,47000,9000,54720,9160,
Average Market income - Single-member families,No sharing,Dollars (tax year 2018/19),Age 45-49,132,58000,9000,50710,9130,
Average Market income - Single-member families,No sharing,Dollars (tax year 2018/19),Age 50-54,129,62000,10000,48050,8380,
Average Market income - Single-member families,No sharing,Dollars (tax year 2018/19),Age 55-59,174,76000,11000,56700,7980,
Average Market income - Single-member families,No sharing,Dollars (tax year 2018/19),Age 60-64,192,85000,10000,44000,12130,
Average Market income - Single-member families,No sharing,Dollars (tax year 2018/19),Age 65-69,168,71000,9000,28520,8470,
Average Market income - Single-member families,No sharing,Dollars (tax year 2018/19),Age 70-74,135,52000,9000,19350,6260,
Average Market income - Single-member families,No sharing,Dollars (tax year 2018/19),Age 75-79,120,39000,7000,,,Suppressed
Average Market income - Single-member families,No sharing,Dollars (tax year 2018/19),Age 80+,174,81000,8000,8590,2630,
Average Market income - Sole-parent families,No sharing,Dollars (tax year 2018/19),Age 0-4,120,61000,11000,0,0,
Average Market income - Sole-parent families,No sharing,Dollars (tax year 2018/19),Age 5-9,189,70000,10000,0,0,
Average Market income - Sole-parent families,No sharing,Dollars (tax year 2018/19),Age 10-14,198,73000,11000,0,0,
Average Market income - Sole-parent families,No sharing,Dollars (tax year 2018/19),Age 15-19,93,42000,11000,810,340,
Average Market income - Sole-parent families,No sharing,Dollars (tax year 2018/19),Age 20-24,21,12000,5000,,,Suppressed
Average Market income - Sole-parent families,No sharing,Dollars (tax year 2018/19),Age 25-29,45,23000,6000,13040,5360,
Average Market income - Sole-parent families,No sharing,Dollars (tax year 2018/19),Age 30-34,45,17000,6000,26060,9290,
Average Market income - Sole-parent families,No sharing,Dollars (tax year 2018/19),Age 35-39,54,23000,6000,28260,7730,
Average Market income - Sole-parent families,No sharing,Dollars (tax year 2018/19),Age 40-44,72,29000,6000,45000,14200,
Average Market income - Sole-parent families,No sharing,Dollars (tax year 2018/19),Age 45-49,51,14000,5000,52070,17880,
Average Market income - Sole-parent families,No sharing,Dollars (tax year 2018/19),Age 50-54,33,13000,5000,40540,16070,
Average Market income - Sole-parent families,No sharing,Dollars (tax year 2018/19),Age 55-59,,,,,,Suppressed
Average Market income - Sole-parent families,No sharing,Dollars (tax year 2018/19),Age 60-64,,,,,,Suppressed
Average Market income - Sole-parent families,No sharing,Dollars (tax year 2018/19),Age 65-69,,,,,,Suppressed
Average Market income - Sole-parent families,No sharing,Dollars (tax year 2018/19),Age 70-74,,,,,,Suppressed
Average Market income - Sole-parent families,No sharing,Dollars (tax year 2018/19),Age 75-79,,,,,,Suppressed
Average Market income - Sole-parent families,No sharing,Dollars (tax year 2018/19),Age 80+,,,,,,Suppressed
Average NZ Super and Vets,No sharing,Dollars (tax year 2018/19),Age 0-4,663,305000,0,0,0,
Average NZ Super and Vets,No sharing,Dollars (tax year 2018/19),Age 5-9,759,327000,0,0,0,
Average NZ Super and Vets,No sharing,Dollars (tax year 2018/19),Age 10-14,723,314000,0,0,0,
Average NZ Super and Vets,No sharing,Dollars (tax year 2018/19),Age 15-19,561,305000,0,0,0,
Average NZ Super and Vets,No sharing,Dollars (tax year 2018/19),Age 20-24,519,332000,0,0,0,
Average NZ Super and Vets,No sharing,Dollars (tax year 2018/19),Age 25-29,642,367000,0,0,0,
Average NZ Super and Vets,No sharing,Dollars (tax year 2018/19),Age 30-34,708,338000,0,0,0,
Average NZ Super and Vets,No sharing,Dollars (tax year 2018/19),Age 35-39,681,310000,0,0,0,
Average NZ Super and Vets,No sharing,Dollars (tax year 2018/19),Age 40-44,630,299000,0,0,0,
Average NZ Super and Vets,No sharing,Dollars (tax year 2018/19),Age 45-49,693,330000,0,0,0,
Average NZ Super and Vets,No sharing,Dollars (tax year 2018/19),Age 50-54,627,317000,0,,,Suppressed
Average NZ Super and Vets,No sharing,Dollars (tax year 2018/19),Age 55-59,633,314000,0,,,Suppressed
Average NZ Super and Vets,No sharing,Dollars (tax year 2018/19),Age 60-64,558,270000,0,590,260,
Average NZ Super and Vets,No sharing,Dollars (tax year 2018/19),Age 65-69,513,233000,0,18420,610,
Average NZ Super and Vets,No sharing,Dollars (tax year 2018/19),Age 70-74,426,190000,0,20760,460,
Average NZ Super and Vets,No sharing,Dollars (tax year 2018/19),Age 75-79,339,125000,0,20810,630,
Average NZ Super and Vets,No sharing,Dollars (tax year 2018/19),Age 80+,312,157000,0,21850,720,
Average Net Fiscal Impact,Family,Dollars (tax year 2018/19),Principal Age 15-19,243,134000,14000,5980,1380,
Average Net Fiscal Impact,Family,Dollars (tax year 2018/19),Principal Age 20-24,537,344000,13000,2800,1730,
Average Net Fiscal Impact,Family,Dollars (tax year 2018/19),Principal Age 25-29,804,452000,23000,-610,3150,
Average Net Fiscal Impact,Family,Dollars (tax year 2018/19),Principal Age 30-34,1155,538000,25000,-3830,2770,
Average Net Fiscal Impact,Family,Dollars (tax year 2018/19),Principal Age 35-39,1191,531000,34000,-4760,3510,
Average Net Fiscal Impact,Family,Dollars (tax year 2018/19),Principal Age 40-44,1218,563000,33000,-8240,3940,
Average Net Fiscal Impact,Family,Dollars (tax year 2018/19),Principal Age 45-49,1035,482000,32000,-16590,4860,
Average Net Fiscal Impact,Family,Dollars (tax year 2018/19),Principal Age 50-54,840,418000,25000,-18390,5910,
Average Net Fiscal Impact,Family,Dollars (tax year 2018/19),Principal Age 55-59,738,359000,21000,-16840,3600,
Average Net Fiscal Impact,Family,Dollars (tax year 2018/19),Principal Age 60-64,630,309000,19000,-8690,4170,
Average Net Fiscal Impact,Family,Dollars (tax year 2018/19),Principal Age 65-69,522,237000,14000,14670,3810,
Average Net Fiscal Impact,Family,Dollars (tax year 2018/19),Principal Age 70-74,411,185000,12000,27310,3950,
Average Net Fiscal Impact,Family,Dollars (tax year 2018/19),Principal Age 75-79,342,124000,10000,34230,2760,
Average Net Fiscal Impact,Family,Dollars (tax year 2018/19),Principal Age 80+,318,159000,8000,43320,2040,
Average Net Fiscal Impact,Intra-family mOECD,Dollars (tax year 2018/19),Age 0-4,663,305000,0,6990,640,
Average Net Fiscal Impact,Intra-family mOECD,Dollars (tax year 2018/19),Age 5-9,759,327000,0,6220,620,
Average Net Fiscal Impact,Intra-family mOECD,Dollars (tax year 2018/19),Age 10-14,723,314000,0,6280,630,
Average Net Fiscal Impact,Intra-family mOECD,Dollars (tax year 2018/19),Age 15-19,561,305000,0,6300,800,
Average Net Fiscal Impact,Intra-family mOECD,Dollars (tax year 2018/19),Age 20-24,519,332000,0,1080,1440,
Average Net Fiscal Impact,Intra-family mOECD,Dollars (tax year 2018/19),Age 25-29,642,367000,0,-3330,1520,
Average Net Fiscal Impact,Intra-family mOECD,Dollars (tax year 2018/19),Age 30-34,708,338000,0,-6510,1180,
Average Net Fiscal Impact,Intra-family mOECD,Dollars (tax year 2018/19),Age 35-39,681,310000,0,-7390,1470,
Average Net Fiscal Impact,Intra-family mOECD,Dollars (tax year 2018/19),Age 40-44,630,299000,0,-10310,1800,
Average Net Fiscal Impact,Intra-family mOECD,Dollars (tax year 2018/19),Age 45-49,693,330000,0,-12190,1830,
Average Net Fiscal Impact,Intra-family mOECD,Dollars (tax year 2018/19),Age 50-54,627,317000,0,-13730,3370,
Average Net Fiscal Impact,Intra-family mOECD,Dollars (tax year 2018/19),Age 55-59,633,314000,0,-11580,1900,
Average Net Fiscal Impact,Intra-family mOECD,Dollars (tax year 2018/19),Age 60-64,558,270000,0,-6120,2290,
Average Net Fiscal Impact,Intra-family mOECD,Dollars (tax year 2018/19),Age 65-69,513,233000,0,9540,2190,
Average Net Fiscal Impact,Intra-family mOECD,Dollars (tax year 2018/19),Age 70-74,426,190000,0,16860,2210,
Average Net Fiscal Impact,Intra-family mOECD,Dollars (tax year 2018/19),Age 75-79,339,125000,0,22930,1290,
Average Net Fiscal Impact,Intra-family mOECD,Dollars (tax year 2018/19),Age 80+,312,157000,0,33730,1510,
Average Net Fiscal Impact,Intra-family mOECD (Indirect tax only),Dollars (tax year 2018/19),Age 0-4,663,305000,0,7930,440,
Average Net Fiscal Impact,Intra-family mOECD (Indirect tax only),Dollars (tax year 2018/19),Age 5-9,759,327000,0,7680,200,
Average Net Fiscal Impact,Intra-family mOECD (Indirect tax only),Dollars (tax year 2018/19),Age 10-14,723,314000,0,8060,110,
Average Net Fiscal Impact,Intra-family mOECD (Indirect tax only),Dollars (tax year 2018/19),Age 15-19,561,305000,0,7810,580,
Average Net Fiscal Impact,Intra-family mOECD (Indirect tax only),Dollars (tax year 2018/19),Age 20-24,519,332000,0,1910,1350,
Average Net Fiscal Impact,Intra-family mOECD (Indirect tax only),Dollars (tax year 2018/19),Age 25-29,642,367000,0,-2810,1990,
Average Net Fiscal Impact,Intra-family mOECD (Indirect tax only),Dollars (tax year 2018/19),Age 30-34,708,338000,0,-7230,1460,
Average Net Fiscal Impact,Intra-family mOECD (Indirect tax only),Dollars (tax year 2018/19),Age 35-39,681,310000,0,-8600,1900,
Average Net Fiscal Impact,Intra-family mOECD (Indirect tax only),Dollars (tax year 2018/19),Age 40-44,630,299000,0,-12550,2330,
Average Net Fiscal Impact,Intra-family mOECD (Indirect tax only),Dollars (tax year 2018/19),Age 45-49,693,330000,0,-13940,2670,
Average Net Fiscal Impact,Intra-family mOECD (Indirect tax only),Dollars (tax year 2018/19),Age 50-54,627,317000,0,-14670,3570,
Average Net Fiscal Impact,Intra-family mOECD (Indirect tax only),Dollars (tax year 2018/19),Age 55-59,633,314000,0,-11620,1980,
Average Net Fiscal Impact,Intra-family mOECD (Indirect tax only),Dollars (tax year 2018/19),Age 60-64,558,270000,0,-8150,2470,
Average Net Fiscal Impact,Intra-family mOECD (Indirect tax only),Dollars (tax year 2018/19),Age 65-69,513,233000,0,10900,2140,
Average Net Fiscal Impact,Intra-family mOECD (Indirect tax only),Dollars (tax year 2018/19),Age 70-74,426,190000,0,17410,2350,
Average Net Fiscal Impact,Intra-family mOECD (Indirect tax only),Dollars (tax year 2018/19),Age 75-79,339,125000,0,23450,1170,
Average Net Fiscal Impact,Intra-family mOECD (Indirect tax only),Dollars (tax year 2018/19),Age 80+,312,157000,0,33680,1440,
Average Other Non-Taxable Benefits,No sharing,Dollars (tax year 2018/19),Age 0-4,663,305000,0,0,0,
Average Other Non-Taxable Benefits,No sharing,Dollars (tax year 2018/19),Age 5-9,759,327000,0,0,0,
Average Other Non-Taxable Benefits,No sharing,Dollars (tax year 2018/19),Age 10-14,723,314000,0,0,0,
Average Other Non-Taxable Benefits,No sharing,Dollars (tax year 2018/19),Age 15-19,561,305000,0,,,Suppressed
Average Other Non-Taxable Benefits,No sharing,Dollars (tax year 2018/19),Age 20-24,519,332000,0,140,50,NB - Sampling error is 21-50% of point estimate
Average Other Non-Taxable Benefits,No sharing,Dollars (tax year 2018/19),Age 25-29,642,367000,0,190,80,NB - Sampling error is 21-50% of point estimate
Average Other Non-Taxable Benefits,No sharing,Dollars (tax year 2018/19),Age 30-34,708,338000,0,190,60,NB - Sampling error is 21-50% of point estimate
Average Other Non-Taxable Benefits,No sharing,Dollars (tax year 2018/19),Age 35-39,681,310000,0,,,Suppressed
Average Other Non-Taxable Benefits,No sharing,Dollars (tax year 2018/19),Age 40-44,630,299000,0,270,100,NB - Sampling error is 21-50% of point estimate
Average Other Non-Taxable Benefits,No sharing,Dollars (tax year 2018/19),Age 45-49,693,330000,0,180,70,NB - Sampling error is 21-50% of point estimate
Average Other Non-Taxable Benefits,No sharing,Dollars (tax year 2018/19),Age 50-54,627,317000,0,,,Suppressed
Average Other Non-Taxable Benefits,No sharing,Dollars (tax year 2018/19),Age 55-59,633,314000,0,,,Suppressed
Average Other Non-Taxable Benefits,No sharing,Dollars (tax year 2018/19),Age 60-64,558,270000,0,260,120,NB - Sampling error is 21-50% of point estimate
Average Other Non-Taxable Benefits,No sharing,Dollars (tax year 2018/19),Age 65-69,513,233000,0,270,130,NB - Sampling error is 21-50% of point estimate
Average Other Non-Taxable Benefits,No sharing,Dollars (tax year 2018/19),Age 70-74,426,190000,0,,,Suppressed
Average Other Non-Taxable Benefits,No sharing,Dollars (tax year 2018/19),Age 75-79,339,125000,0,220,60,NB - Sampling error is 21-50% of point estimate
Average Other Non-Taxable Benefits,No sharing,Dollars (tax year 2018/19),Age 80+,312,157000,0,460,100,NB - Sampling error is 21-50% of point estimate
Average Other income support,No sharing,Dollars (tax year 2018/19),Age 0-4,663,305000,0,0,0,
Average Other income support,No sharing,Dollars (tax year 2018/19),Age 5-9,759,327000,0,0,0,
Average Other income support,No sharing,Dollars (tax year 2018/19),Age 10-14,723,314000,0,0,0,
Average Other income support,No sharing,Dollars (tax year 2018/19),Age 15-19,561,305000,0,290,100,
Average Other income support,No sharing,Dollars (tax year 2018/19),Age 20-24,519,332000,0,1170,250,
Average Other income support,No sharing,Dollars (tax year 2018/19),Age 25-29,642,367000,0,1140,250,
Average Other income support,No sharing,Dollars (tax year 2018/19),Age 30-34,708,338000,0,770,160,
Average Other income support,No sharing,Dollars (tax year 2018/19),Age 35-39,681,310000,0,530,140,
Average Other income support,No sharing,Dollars (tax year 2018/19),Age 40-44,630,299000,0,450,120,
Average Other income support,No sharing,Dollars (tax year 2018/19),Age 45-49,693,330000,0,360,120,
Average Other income support,No sharing,Dollars (tax year 2018/19),Age 50-54,627,317000,0,450,190,
Average Other income support,No sharing,Dollars (tax year 2018/19),Age 55-59,633,314000,0,400,200,
Average Other income support,No sharing,Dollars (tax year 2018/19),Age 60-64,558,270000,0,460,130,
Average Other income support,No sharing,Dollars (tax year 2018/19),Age 65-69,513,233000,0,640,130,
Average Other income support,No sharing,Dollars (tax year 2018/19),Age 70-74,426,190000,0,670,190,
Average Other income support,No sharing,Dollars (tax year 2018/19),Age 75-79,339,125000,0,610,60,
Average Other income support,No sharing,Dollars (tax year 2018/19),Age 80+,312,157000,0,870,110,
Average Paid Parental Leave,No sharing,Dollars (tax year 2018/19),Age 0-4,663,305000,0,0,0,
Average Paid Parental Leave,No sharing,Dollars (tax year 2018/19),Age 5-9,759,327000,0,0,0,
Average Paid Parental Leave,No sharing,Dollars (tax year 2018/19),Age 10-14,723,314000,0,0,0,
Average Paid Parental Leave,No sharing,Dollars (tax year 2018/19),Age 15-19,561,305000,0,0,0,
Average Paid Parental Leave,No sharing,Dollars (tax year 2018/19),Age 20-24,519,332000,0,,,Suppressed
Average Paid Parental Leave,No sharing,Dollars (tax year 2018/19),Age 25-29,642,367000,0,310,130,NB - Sampling error is 21-50% of point estimate
Average Paid Parental Leave,No sharing,Dollars (tax year 2018/19),Age 30-34,708,338000,0,390,140,NB - Sampling error is 21-50% of point estimate
Average Paid Parental Leave,No sharing,Dollars (tax year 2018/19),Age 35-39,681,310000,0,220,100,NB - Sampling error is 21-50% of point estimate
Average Paid Parental Leave,No sharing,Dollars (tax year 2018/19),Age 40-44,630,299000,0,,,Suppressed
Average Paid Parental Leave,No sharing,Dollars (tax year 2018/19),Age 45-49,693,330000,0,0,0,
Average Paid Parental Leave,No sharing,Dollars (tax year 2018/19),Age 50-54,627,317000,0,0,0,
Average Paid Parental Leave,No sharing,Dollars (tax year 2018/19),Age 55-59,633,314000,0,0,0,
Average Paid Parental Leave,No sharing,Dollars (tax year 2018/19),Age 60-64,558,270000,0,0,0,
Average Paid Parental Leave,No sharing,Dollars (tax year 2018/19),Age 65-69,513,233000,0,0,0,
Average Paid Parental Leave,No sharing,Dollars (tax year 2018/19),Age 70-74,426,190000,0,0,0,
Average Paid Parental Leave,No sharing,Dollars (tax year 2018/19),Age 75-79,339,125000,0,0,0,
Average Paid Parental Leave,No sharing,Dollars (tax year 2018/19),Age 80+,312,157000,0,0,0,
Average Student Allowance,No sharing,Dollars (tax year 2018/19),Age 0-4,663,305000,0,0,0,
Average Student Allowance,No sharing,Dollars (tax year 2018/19),Age 5-9,759,327000,0,0,0,
Average Student Allowance,No sharing,Dollars (tax year 2018/19),Age 10-14,723,314000,0,0,0,
Average Student Allowance,No sharing,Dollars (tax year 2018/19),Age 15-19,561,305000,0,,,Suppressed
Average Student Allowance,No sharing,Dollars (tax year 2018/19),Age 20-24,519,332000,0,720,230,NB - Sampling error is 21-50% of point estimate
Average Student Allowance,No sharing,Dollars (tax year 2018/19),Age 25-29,642,367000,0,430,210,NB - Sampling error is 21-50% of point estimate
Average Student Allowance,No sharing,Dollars (tax year 2018/19),Age 30-34,708,338000,0,,,Suppressed
Average Student Allowance,No sharing,Dollars (tax year 2018/19),Age 35-39,681,310000,0,,,Suppressed
Average Student Allowance,No sharing,Dollars (tax year 2018/19),Age 40-44,630,299000,0,,,Suppressed
Average Student Allowance,No sharing,Dollars (tax year 2018/19),Age 45-49,693,330000,0,,,Suppressed
Average Student Allowance,No sharing,Dollars (tax year 2018/19),Age 50-54,627,317000,0,,,Suppressed
Average Student Allowance,No sharing,Dollars (tax year 2018/19),Age 55-59,633,314000,0,,,Suppressed
Average Student Allowance,No sharing,Dollars (tax year 2018/19),Age 60-64,558,270000,0,0,0,
Average Student Allowance,No sharing,Dollars (tax year 2018/19),Age 65-69,513,233000,0,0,0,
Average Student Allowance,No sharing,Dollars (tax year 2018/19),Age 70-74,426,190000,0,0,0,
Average Student Allowance,No sharing,Dollars (tax year 2018/19),Age 75-79,339,125000,0,0,0,
Average Student Allowance,No sharing,Dollars (tax year 2018/19),Age 80+,312,157000,0,0,0,
Average Winter Energy Payment,No sharing,Dollars (tax year 2018/19),Age 0-4,663,305000,0,0,0,
Average Winter Energy Payment,No sharing,Dollars (tax year 2018/19),Age 5-9,759,327000,0,0,0,
Average Winter Energy Payment,No sharing,Dollars (tax year 2018/19),Age 10-14,723,314000,0,0,0,
Average Winter Energy Payment,No sharing,Dollars (tax year 2018/19),Age 15-19,561,305000,0,,,Suppressed
Average Winter Energy Payment,No sharing,Dollars (tax year 2018/19),Age 20-24,519,332000,0,60,10,
Average Winter Energy Payment,No sharing,Dollars (tax year 2018/19),Age 25-29,642,367000,0,60,10,
Average Winter Energy Payment,No sharing,Dollars (tax year 2018/19),Age 30-34,708,338000,0,50,10,NB - Sampling error is 21-50% of point estimate
Average Winter Energy Payment,No sharing,Dollars (tax year 2018/19),Age 35-39,681,310000,0,40,10,NB - Sampling error is 21-50% of point estimate
Average Winter Energy Payment,No sharing,Dollars (tax year 2018/19),Age 40-44,630,299000,0,40,10,NB - Sampling error is 21-50% of point estimate
Average Winter Energy Payment,No sharing,Dollars (tax year 2018/19),Age 45-49,693,330000,0,40,10,NB - Sampling error is 21-50% of point estimate
Average Winter Energy Payment,No sharing,Dollars (tax year 2018/19),Age 50-54,627,317000,0,50,10,NB - Sampling error is 21-50% of point estimate
Average Winter Energy Payment,No sharing,Dollars (tax year 2018/19),Age 55-59,633,314000,0,60,10,
Average Winter Energy Payment,No sharing,Dollars (tax year 2018/19),Age 60-64,558,270000,0,130,10,
Average Winter Energy Payment,No sharing,Dollars (tax year 2018/19),Age 65-69,513,233000,0,360,10,
Average Winter Energy Payment,No sharing,Dollars (tax year 2018/19),Age 70-74,426,190000,0,380,10,
Average Winter Energy Payment,No sharing,Dollars (tax year 2018/19),Age 75-79,339,125000,0,380,10,
Average Winter Energy Payment,No sharing,Dollars (tax year 2018/19),Age 80+,312,157000,0,400,10,
Average Working for Families,No sharing,Dollars (tax year 2018/19),Age 0-4,663,305000,0,0,0,
Average Working for Families,No sharing,Dollars (tax year 2018/19),Age 5-9,759,327000,0,0,0,
Average Working for Families,No sharing,Dollars (tax year 2018/19),Age 10-14,723,314000,0,0,0,
Average Working for Families,No sharing,Dollars (tax year 2018/19),Age 15-19,561,305000,0,,,Suppressed
Average Working for Families,No sharing,Dollars (tax year 2018/19),Age 20-24,519,332000,0,420,130,
Average Working for Families,No sharing,Dollars (tax year 2018/19),Age 25-29,642,367000,0,1030,180,
Average Working for Families,No sharing,Dollars (tax year 2018/19),Age 30-34,708,338000,0,1390,250,
Average Working for Families,No sharing,Dollars (tax year 2018/19),Age 35-39,681,310000,0,1860,290,
Average Working for Families,No sharing,Dollars (tax year 2018/19),Age 40-44,630,299000,0,1610,280,
Average Working for Families,No sharing,Dollars (tax year 2018/19),Age 45-49,693,330000,0,860,150,
Average Working for Families,No sharing,Dollars (tax year 2018/19),Age 50-54,627,317000,0,570,170,
Average Working for Families,No sharing,Dollars (tax year 2018/19),Age 55-59,633,314000,0,190,90,
Average Working for Families,No sharing,Dollars (tax year 2018/19),Age 60-64,558,270000,0,,,Suppressed
Average Working for Families,No sharing,Dollars (tax year 2018/19),Age 65-69,513,233000,0,,,Suppressed
Average Working for Families,No sharing,Dollars (tax year 2018/19),Age 70-74,426,190000,0,,,Suppressed
Average Working for Families,No sharing,Dollars (tax year 2018/19),Age 75-79,339,125000,0,,,Suppressed
